标签名,标签ID,描述,单位,类型
FW.1KQCXZLLC_FB5TIME,388,#1空气擦洗重力滤池反馈5时间,,float32
FW.1KQCXZLLC_FB5TIMESPO,389,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_FB6,390,#1空气擦洗重力滤池反馈6,,digital
FW.1KQCXZLLC_FB6TIME,391,#1空气擦洗重力滤池反馈6时间,,float32
FW.1KQCXZLLC_FB6TIMESPO,392,@ Ovation Control Builder @,,float32
FW.1KQCXZLLC_LP,393,#1空气擦洗重力滤池状态点,,int32
FW.1KQCXZLLC_MANM,394,#1空气擦洗重力滤池步序手动,,digital
FW.1KQCXZLLC_PD,395,#1空气擦洗重力滤池排队,,digital
FW.1KQCXZLLC_READY,396,@ Ovation Control Builder @,,digital
FW.1KQCXZLLC_SEQ1,397,#1空气擦洗重力滤池step1,,digital
FW.1KQCXZLLC_SEQ2,398,#1空气擦洗重力滤池step2,,digital
FW.1KQCXZLLC_SEQ2A,399,@ Ovation Control Builder @,,digital
FW.1KQCXZLLC_SEQ3,400,#1空气擦洗重力滤池step3,,digital
FW.1KQCXZLLC_SEQ3A,401,@ Ovation Control Builder @,,digital
FW.1KQCXZLLC_SEQ4,402,#1空气擦洗重力滤池step4,,digital
FW.1KQCXZLLC_SEQ5,403,#1空气擦洗重力滤池step5,,digital
FW.1KQCXZLLC_SEQ6,404,#1空气擦洗重力滤池step6,,digital
FW.1KQCXZLLC_SEQGO,405,#1空气擦洗重力滤池步序启动,,digital
FW.1KQCXZLLC_SEQNUM,406,#1空气擦洗重力滤池当前步序,,float32
FW.1KQCXZLLCTIME,407,#1空气擦洗重力滤池排队时间,,float32
FW.1KQCXZLLCYX2,408,#2空气擦洗重力滤池排队优先,,digital
FW.1KQCXZLLCYX3,409,#3空气擦洗重力滤池排队优先,,digital
FW.1REALARM,410,@ Ovation Control Builder @,,digital
FW.1XNCPNTIME,411,@ Ovation Control Builder @,,float32
FW.1XNCPNTIMESPO,412,@ Ovation Control Builder @,,float32
FW.1XZLVDJ_LSTR,413,#1旋转滤网电机连锁投入,,digital
FW.1YB,414,#1一级反渗透在运行,,digital
FW.1YIFSTBQG,415,#1一级反渗透泵全关,,digital
FW.1YJFST_AUTOM,416,#1一级反渗透运行步序自动,,digital
FW.1YJFST_BYCX,417,@ Ovation Control Builder @,,digital
FW.1YJFST_DONE,418,#1一级反渗透运行步序结束,,digital
FW.1YJFST_FB1,419,#1一级反渗透运行步序反馈1,,digital
FW.1YJFST_FB1TIME,420,#1一级反渗透运行步序1时间,,float32
FW.1YJFST_FB1TIMESPO,421,@ Ovation Control Builder @,,float32
FW.1YJFST_FB2,422,#1一级反渗透运行步序反馈2,,digital
FW.1YJFST_FB2TIME,423,#1一级反渗透运行步序2时间,,float32
FW.1YJFST_FB2TIMESPO,424,@ Ovation Control Builder @,,float32
FW.1YJFST_FB3,425,#1一级反渗透运行步序反馈3,,digital
FW.1YJFST_FB3TIME,426,#1一级反渗透运行步序3时间,,float32
FW.1YJFST_FB3TIMESPO,427,@ Ovation Control Builder @,,float32
FW.1YJFST_FB4,428,#1一级反渗透运行步序反馈4,,digital
FW.1YJFST_FB4TIME,429,#1一级反渗透运行步序4时间,,float32
FW.1YJFST_FB4TIMESPO,430,@ Ovation Control Builder @,,float32
FW.1YJFST_FB5,431,#1一级反渗透运行步序反馈5,,digital
FW.1YJFST_FB5TIME,432,#1一级反渗透运行步序5时间,,float32
FW.1YJFST_FB5TIMESPO,433,@ Ovation Control Builder @,,float32
FW.1YJFST_FB6,434,#1一级反渗透运行步序反馈6,,digital
FW.1YJFST_FB6TIME,435,@ Ovation Control Builder @,,float32
FW.1YJFST_FB6TIMESPO,436,@ Ovation Control Builder @,,float32
FW.1YJFST_JT,437,#1一级反渗透急停,,digital
FW.1YJFST_JTXD,438,@ Ovation Control Builder @,,digital
FW.1YJFST_LP,439,#1一级反渗透运行步序状态点,,int32
FW.1YJFST_MANM,440,#1一级反渗透运行步序手动,,digital
FW.1YJFST_READY,441,@ Ovation Control Builder @,,digital
FW.1YJFST_SEQ1,442,#1一级反渗透运行步序STEP1,,digital
FW.1YJFST_SEQ2,443,#1一级反渗透运行步序STEP2,,digital
FW.1YJFST_SEQ3,444,#1一级反渗透运行步序STEP3,,digital
FW.1YJFST_SEQ4,445,#1一级反渗透运行步序STEP4,,digital
FW.1YJFST_SEQ5,446,#1一级反渗透运行步序STEP5,,digital
FW.1YJFST_SEQ6,447,#1一级反渗透运行步序STEP6,,digital
FW.1YJFST_SEQGO,448,#1一级反渗透运行步序启动,,digital
FW.1YJFST_SEQNUM,449,#1一级反渗透运行当前步序,,float32
FW.1YJFST_STOP,450,#1一级反渗透运行步序停止,,digital
FW.1YJFST_TZ,451,#1一级反渗透运行停止,,digital
FW.1YJFST_TZXD,452,@ Ovation Control Builder @,,digital
FW.1YJFST_YLKGDZ,453,#1一级反渗透压力开关动作,,digital
FW.1YJFSTBXBY,454,#1一级反渗透步延,,digital
FW.1YJFSTFX_PD,455,#1一级反渗透冲洗排队,,digital
FW.1YJFSTQG,456,#1一级反渗透全关,,digital
FW.1YJFSTYXBY,457,#1一级反渗透运行步延,,digital
FW.1YJFSTYXBYTIME,458,#1一级反渗透运行步延时间,,float32
FW.1ZDLSQJKM_LSTR,459,#1自动滤水器进口门联锁投入,,digital
FW.1ZG/HY,460,1套设备使用阻垢/还原泵,,digital
FW.2,461,@ Ovation Control Builder @,,digital
FW.20ALARM,462,@ Ovation Control Builder @,,digital
FW.20ALARM1,463,@ Ovation Control Builder @,,digital
FW.20REALARM,464,@ Ovation Control Builder @,,digital
FW.21ALARM,465,@ Ovation Control Builder @,,digital
FW.21ALARM1,466,@ Ovation Control Builder @,,digital
FW.21REALARM,467,@ Ovation Control Builder @,,digital
FW.21XNCPNTIME,468,@ Ovation Control Builder @,,float32
FW.21XNCPNTIMESPO,469,@ Ovation Control Builder @,,float32
FW.22ALARM,470,@ Ovation Control Builder @,,digital
FW.22ALARM1,471,@ Ovation Control Builder @,,digital
FW.22REALARM,472,@ Ovation Control Builder @,,digital
FW.22XNCPNTIME,473,@ Ovation Control Builder @,,float32
FW.22XNCPNTIMESPO,474,@ Ovation Control Builder @,,float32
FW.23ALARM,475,@ Ovation Control Builder @,,digital
FW.23ALARM1,476,@ Ovation Control Builder @,,digital
FW.23REALARM,477,@ Ovation Control Builder @,,digital
FW.23XNCPNTIME,478,@ Ovation Control Builder @,,float32
FW.23XNCPNTIMESPO,479,@ Ovation Control Builder @,,float32
FW.24ALARM,480,@ Ovation Control Builder @,,digital
FW.24ALARM1,481,@ Ovation Control Builder @,,digital
FW.24REALARM,482,@ Ovation Control Builder @,,digital
FW.24XNCPNTIME,483,@ Ovation Control Builder @,,float32
FW.24XNCPNTIMESPO,484,@ Ovation Control Builder @,,float32
FW.25ALARM,485,@ Ovation Control Builder @,,digital
FW.25ALARM1,486,@ Ovation Control Builder @,,digital
FW.25REALARM,487,@ Ovation Control Builder @,,digital
FW.25XNCDPNTIME,488,@ Ovation Control Builder @,,float32
FW.25XNCDPNTIMESPO,489,@ Ovation Control Builder @,,float32
FW.25XNCPNTIME,490,@ Ovation Control Builder @,,float32
FW.25XNCPNTIMESPO,491,@ Ovation Control Builder @,,float32
FW.26ALARM,492,@ Ovation Control Builder @,,digital
FW.26ALARM1,493,@ Ovation Control Builder @,,digital
FW.26REALARM,494,@ Ovation Control Builder @,,digital
FW.26XNCDPNTIME,495,@ Ovation Control Builder @,,float32
FW.26XNCDPNTIMESPO,496,@ Ovation Control Builder @,,float32
FW.26XNCPNTIME,497,@ Ovation Control Builder @,,float32
FW.26XNCPNTIMESPO,498,@ Ovation Control Builder @,,float32
FW.27ALARM,499,@ Ovation Control Builder @,,digital
FW.27ALARM1,500,@ Ovation Control Builder @,,digital
FW.27REALARM,501,@ Ovation Control Builder @,,digital
FW.27XNCDPNTIME,502,@ Ovation Control Builder @,,float32
FW.27XNCDPNTIMESPO,503,@ Ovation Control Builder @,,float32
FW.27XNCPNTIME,504,@ Ovation Control Builder @,,float32
FW.27XNCPNTIMESPO,505,@ Ovation Control Builder @,,float32
FW.28ALARM,506,@ Ovation Control Builder @,,digital
FW.28ALARM1,507,@ Ovation Control Builder @,,digital
FW.28REALARM,508,@ Ovation Control Builder @,,digital
FW.28XNCDPNTIME,509,@ Ovation Control Builder @,,float32
FW.28XNCDPNTIMESPO,510,@ Ovation Control Builder @,,float32
FW.28XNCPNTIME,511,@ Ovation Control Builder @,,float32
FW.28XNCPNTIMESPO,512,@ Ovation Control Builder @,,float32
FW.29ALARM,513,@ Ovation Control Builder @,,digital
FW.29ALARM1,514,@ Ovation Control Builder @,,digital
FW.29REALARM,515,@ Ovation Control Builder @,,digital
FW.2ALARM,516,@ Ovation Control Builder @,,digital
FW.2ALARM1,517,@ Ovation Control Builder @,,digital
FW.2ALSTR,518,2A号雨水提升泵联锁投入,,digital
FW.2BLSTR,519,2B号雨水提升泵联锁投入,,digital
FW.2CLBQG,520,#2超滤泵全关,,digital
FW.2CLBXBY,521,#2超滤步延,,digital
FW.2CLFX_CS,522,#2超滤已运行次数,,float32
FW.2CLFX_CSSDSPO,523,@ Ovation Control Builder @,,float32
FW.2CLFX_PD,524,#2超滤反洗排队,,digital
FW.2CLYX_AUTOM,525,#2超滤运行步序自动,,digital
FW.2CLYX_DONE,526,#2超滤运行步序结束,,digital
FW.2CLYX_FB1,527,#2超滤运行步序反馈1,,digital
FW.2CLYX_FB10,528,#2超滤运行步序反馈10,,digital
FW.2CLYX_FB11,529,#2超滤运行步序反馈11,,digital
FW.2CLYX_FB2,530,#2超滤运行步序反馈2,,digital
FW.2CLYX_FB3,531,#2超滤运行步序反馈3,,digital
FW.2CLYX_FB4,532,#2超滤运行步序反馈4,,digital
FW.2CLYX_FB5,533,#2超滤运行步序反馈5,,digital
FW.2CLYX_FB6,534,#2超滤运行步序反馈6,,digital
FW.2CLYX_FB7,535,#2超滤运行步序反馈7,,digital
FW.2CLYX_FB8,536,#2超滤运行步序反馈8,,digital
FW.2CLYX_FB9,537,#2超滤运行步序反馈9,,digital
FW.2CLYX_JT,538,#2超滤急停,,digital
FW.2CLYX_JTXD,539,@ Ovation Control Builder @,,digital
FW.2CLYX_LP,540,#2超滤运行步序状态点,,int32
FW.2CLYX_MANM,541,#2超滤运行步序手动,,digital
FW.2CLYX_READY,542,@ Ovation Control Builder @,,digital
FW.2CLYX_SEQ1,543,#2超滤运行步序STEP1,,digital
FW.2CLYX_SEQ10,544,#2超滤运行步序STEP10,,digital
FW.2CLYX_SEQ11,545,#2超滤运行步序STEP11,,digital
FW.2CLYX_SEQ2,546,#2超滤运行步序STEP2,,digital
FW.2CLYX_SEQ3,547,#2超滤运行步序STEP3,,digital
FW.2CLYX_SEQ4,548,#2超滤运行步序STEP4,,digital
FW.2CLYX_SEQ5,549,#2超滤运行步序STEP5,,digital
FW.2CLYX_SEQ6,550,#2超滤运行步序STEP6,,digital
FW.2CLYX_SEQ7,551,#2超滤运行步序STEP7,,digital
FW.2CLYX_SEQ8,552,#2超滤运行步序STEP8,,digital
FW.2CLYX_SEQ9,553,#2超滤运行步序STEP9,,digital
FW.2CLYX_SEQGO,554,#2超滤运行步序启动,,digital
FW.2CLYX_SEQNUM,555,#2超滤运行当前步序,,float32
FW.2CLYX_STOP,556,#2超滤运行步序停止,,digital
FW.2CLYX_TZXD,557,@ Ovation Control Builder @,,digital
FW.2CLYXBY,558,#2超滤运行步延,,digital
FW.2CLYXBYTIME,559,#2超滤运行步延时间,,float32
FW.2CLYXFB10TIME,560,#2超滤运行步序10时间,,float32
FW.2CLYXFB10TIMESPO,561,@ Ovation Control Builder @,,float32
FW.2CLYXFB11TIME,562,#2超滤运行步序11时间,,float32
FW.2CLYXFB11TIMESPO,563,@ Ovation Control Builder @,,float32
FW.2CLYXFB1TIME,564,#2超滤运行步序1时间,,float32
FW.2CLYXFB1TIMESPO,565,@ Ovation Control Builder @,,float32
FW.2CLYXFB2TIME,566,#2超滤运行步序2时间,,float32
FW.2CLYXFB2TIMESPO,567,@ Ovation Control Builder @,,float32
FW.2CLYXFB3TIME,568,#2超滤运行步序3时间,,float32
FW.2CLYXFB3TIMESPO,569,@ Ovation Control Builder @,,float32
FW.2CLYXFB4TIME,570,#2超滤运行步序4时间,,float32
FW.2CLYXFB4TIMESPO,571,@ Ovation Control Builder @,,float32
FW.2CLYXFB5TIME,572,#2超滤运行步序5时间,,float32
FW.2CLYXFB5TIMESPO,573,@ Ovation Control Builder @,,float32
FW.2CLYXFB6TIME,574,#2超滤运行步序6时间,,float32
FW.2CLYXFB6TIMESPO,575,@ Ovation Control Builder @,,float32
FW.2CLYXFB7TIME,576,#2超滤运行步序7时间,,float32
FW.2CLYXFB7TIMESPO,577,@ Ovation Control Builder @,,float32
FW.2CLYXFB8TIME,578,#2超滤运行步序8时间,,float32
FW.2CLYXFB8TIMESPO,579,@ Ovation Control Builder @,,float32
FW.2CLYXFB9TIME,580,#2超滤运行步序9时间,,float32
FW.2CLYXFB9TIMESPO,581,@ Ovation Control Builder @,,float32
FW.2CLZQ_J0GCB12AA005_CLOSE,582,#2超滤增强反洗进水门顺控关,,digital
FW.2CLZQ_J0GCB12AA005_OPEN,583,#2超滤增强反洗进水门顺控开,,digital
FW.2CLZQ_J0GCB12AA006_CLOSE,584,#2超滤增强反洗进气门顺控关,,digital
FW.2CLZQ_J0GCB12AA006_OPEN,585,#2超滤增强反洗进气门顺控开,,digital
FW.2CLZQ_J0GCB12AA402_CLOSE,586,#2超滤增强反洗上排门顺控关,,digital
FW.2CLZQ_J0GCB12AA402_OPEN,587,#2超滤增强反洗上排门顺控开,,digital
FW.2CLZQ_J0GCB12AA403_CLOSE,588,#2超滤增强反洗药洗排水门关,,digital
FW.2CLZQ_J0GCB12AA403_OPEN,589,#2超滤增强反洗药洗排水门开,,digital
FW.2CLZQBY,590,#2超滤增强步延,,digital
FW.2CLZQFX_AUTOM,591,#2超滤增强反洗步序自动,,digital
FW.2CLZQFX_DONE,592,#2超滤增强反洗步序结束,,digital
FW.2CLZQFX_FB1,593,#2超滤增强反洗步序反馈1,,digital
FW.2CLZQFX_FB1TIME,594,#2超滤增强反洗步序1时间,,float32
FW.2CLZQFX_FB1TIMESPO,595,@ Ovation Control Builder @,,float32
FW.2CLZQFX_FB2,596,#2超滤增强反洗步序反馈2,,digital
FW.2CLZQFX_FB2TIME,597,#2超滤增强反洗步序2时间,,float32
FW.2CLZQFX_FB2TIMESPO,598,@ Ovation Control Builder @,,float32
FW.2CLZQFX_FB3,599,#2超滤增强反洗步序反馈3,,digital
FW.2CLZQFX_FB3TIME,600,#2超滤增强反洗步序3时间,,float32
FW.2CLZQFX_FB3TIMESPO,601,@ Ovation Control Builder @,,float32
FW.2CLZQFX_FB4,602,#2超滤增强反洗步序反馈4,,digital
FW.2CLZQFX_FB4TIME,603,#2超滤增强反洗步序4时间,,float32
FW.2CLZQFX_FB4TIMESPO,604,@ Ovation Control Builder @,,float32
FW.2CLZQFX_FB5,605,#2超滤增强反洗步序反馈5,,digital
FW.2CLZQFX_FB5TIME,606,#2超滤增强反洗步序5时间,,float32
FW.2CLZQFX_FB5TIMESPO,607,@ Ovation Control Builder @,,float32
FW.2CLZQFX_FB6,608,#2超滤增强反洗步序反馈6,,digital
FW.2CLZQFX_FB6TIME,609,#2超滤增强反洗步序6时间,,float32
FW.2CLZQFX_FB6TIMESPO,610,@ Ovation Control Builder @,,float32
FW.2CLZQFX_JL,611,#2超滤增强反洗加碱氯,,digital
FW.2CLZQFX_JS,612,#2超滤增强反洗加酸,,digital
FW.2CLZQFX_LP,613,#2超滤增强反洗步序状态点,,int32
FW.2CLZQFX_MANM,614,#2超滤增强反洗步序手动,,digital
FW.2CLZQFX_PD,615,#2超滤增强反洗步序排队,,digital
FW.2CLZQFX_QD,616,启动#2超滤增强反洗步序,,digital
FW.2CLZQFX_READY,617,@ Ovation Control Builder @,,digital
FW.2CLZQFX_SEQ1,618,#2超滤增强反洗步序STEP1,,digital
FW.2CLZQFX_SEQ2,619,#2超滤增强反洗步序STEP2,,digital
FW.2CLZQFX_SEQ3,620,#2超滤增强反洗步序STEP3,,digital
FW.2CLZQFX_SEQ4,621,#2超滤增强反洗步序STEP4,,digital
FW.2CLZQFX_SEQ5,622,#2超滤增强反洗步序STEP5,,digital
FW.2CLZQFX_SEQ6,623,#2超滤增强反洗步序STEP6,,digital
FW.2CLZQFX_SEQGO,624,#2超滤增强反洗步序启动,,digital
FW.2CLZQFX_SEQNUM,625,#2超滤增强反洗当前步序,,float32
FW.2CLZQFX_STOP,626,#2超滤增强反洗步序停止,,digital
FW.2CLZQFXBY,627,#2超滤增强反洗步延,,digital
FW.2CLZQFXBYTIME,628,#2超滤增强反洗步延时间,,float32
FW.2EDI_JT,629,#2EDI急停,,digital
FW.2EDI_JTXD,630,@ Ovation Control Builder @,,digital
FW.2EDI_TZ,631,#2EDI运行停止,,digital
FW.2EDI_TZXD,632,@ Ovation Control Builder @,,digital
FW.2EDIBXBY,633,#2EDI步延,,digital
FW.2EDIGF,634,#2EDI急停关阀指令,,digital
FW.2EDIQG,635,#2EDI设备全关,,digital
FW.2EDIYXBY,636,#2EDI运行步延,,digital
FW.2EDIYXBYTIME,637,#2EDI运行步延时间,,float32
FW.2EIFSTBQG,638,@ Ovation Control Builder @,,digital
FW.2EJFST_AUTOM,639,#2二级反渗透运行步序自动,,digital
FW.2EJFST_BYCX,640,@ Ovation Control Builder @,,digital
FW.2EJFST_DONE,641,#2二级反渗透运行步序结束,,digital
FW.2EJFST_FB1,642,#2二级反渗透运行步序反馈1,,digital
FW.2EJFST_FB1TIME,643,#2二级反渗透运行步序1时间,,float32
FW.2EJFST_FB1TIMESPO,644,@ Ovation Control Builder @,,float32
FW.2EJFST_FB2,645,#2二级反渗透运行步序反馈2,,digital
FW.2EJFST_FB2TIME,646,#2二级反渗透运行步序2时间,,float32
FW.2EJFST_FB2TIMESPO,647,@ Ovation Control Builder @,,float32
FW.2EJFST_FB3,648,#2二级反渗透运行步序反馈3,,digital
FW.2EJFST_FB3TIME,649,#2二级反渗透运行步序3时间,,float32
FW.2EJFST_FB3TIMESPO,650,@ Ovation Control Builder @,,float32
FW.2EJFST_FB4,651,#2二级反渗透运行步序反馈4,,digital
FW.2EJFST_FB4TIME,652,#2二级反渗透运行步序4时间,,float32
FW.2EJFST_FB4TIMESPO,653,@ Ovation Control Builder @,,float32
FW.2EJFST_FB5,654,#2二级反渗透运行步序反馈5,,digital
FW.2EJFST_FB5TIME,655,#2二级反渗透运行步序5时间,,float32
FW.2EJFST_FB5TIMESPO,656,@ Ovation Control Builder @,,float32
FW.2EJFST_J0GCF42AA005CP,657,#2二级反渗透冲洗水门顺控关,,digital
FW.2EJFST_J0GCF42AA005OP,658,#2二级反渗透冲洗水门顺控开,,digital
FW.2EJFST_J0GCF42AA401CP,659,#2二级反渗透产水排放门顺控关,,digital
FW.2EJFST_J0GCF42AA401OP,660,#2二级反渗透产水排放门顺控开,,digital
FW.2EJFST_J0GCF42AA402CP,661,#2二级反渗透浓水排放门顺控关,,digital
FW.2EJFST_J0GCF42AA402OP,662,#2二级反渗透浓水排放门顺控开,,digital
FW.2EJFST_J0GCK42AA003CP,663,#2二级反渗透高压泵出水门关,,digital
FW.2EJFST_J0GCK42AA003OP,664,#2二级反渗透高压泵出水门开,,digital
FW.2EJFST_J0GCK42AP001CP,665,#2二级反渗透高压泵顺控停,,digital
FW.2EJFST_J0GCK42AP001OP,666,#2二级反渗透高压泵顺控启,,digital
FW.2EJFST_JT,667,#2二级反渗透急停,,digital
FW.2EJFST_JTXD,668,@ Ovation Control Builder @,,digital
FW.2EJFST_LP,669,#2二级反渗透运行步序状态点,,int32
FW.2EJFST_MANM,670,#2二级反渗透运行步序手动,,digital
FW.2EJFST_READY,671,@ Ovation Control Builder @,,digital
FW.2EJFST_SEQ1,672,#2二级反渗透运行步序STEP1,,digital
FW.2EJFST_SEQ2,673,#2二级反渗透运行步序STEP2,,digital
FW.2EJFST_SEQ3,674,#2二级反渗透运行步序STEP3,,digital
FW.2EJFST_SEQ4,675,#2二级反渗透运行步序STEP4,,digital
FW.2EJFST_SEQ5,676,#2二级反渗透运行步序STEP5,,digital
FW.2EJFST_SEQGO,677,#2二级反渗透运行步序启动,,digital
FW.2EJFST_SEQNUM,678,#2二级反渗透运行当前步序,,float32
FW.2EJFST_STOP,679,#2二级反渗透冲洗停止,,digital
FW.2EJFST_TZ,680,#2二级反渗透停止,,digital
FW.2EJFST_TZXD,681,@ Ovation Control Builder @,,digital
FW.2EJFST_YLKGDZ,682,#2二级反渗透压力动作,,digital
FW.2EJFSTBXBY,683,#2二级反渗透步延,,digital
FW.2EJFSTFX_PD,684,#2二级反渗透冲洗排队,,digital
FW.2EJFSTQG,685,#2二级反渗透设备全关,,digital
FW.2EJFSTYXBY,686,#2二级反渗透运行步延,,digital
FW.2EJFSTYXBYTIME,687,#2二级反渗透运行步延时间,,float32
FW.2FK1,688,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_AUTOM,689,#2加非氧化性杀菌剂步序自动,,digital
FW.2JFYHSJJ_BQG,690,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_DONE,691,#2加非氧化性杀菌剂步序结束,,digital
FW.2JFYHSJJ_FB1,692,#2加非氧化性杀菌剂步序反馈1,,digital
FW.2JFYHSJJ_FB1TIME,693,加非氧化性杀菌剂步序反馈1时间,,float32
FW.2JFYHSJJ_FB1TIMESPO,694,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB2,695,#2加非氧化性杀菌剂步序反馈2,,digital
FW.2JFYHSJJ_FB2TIME,696,加非氧化性杀菌剂步序反馈2时间,,float32
FW.2JFYHSJJ_FB2TIMESPO,697,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB3,698,#2加非氧化性杀菌剂步序反馈3,,digital
FW.2JFYHSJJ_FB3TIME,699,加非氧化性杀菌剂步序反馈3时间,,float32
FW.2JFYHSJJ_FB3TIMESPO,700,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB4,701,#2加非氧化性杀菌剂步序反馈4,,digital
FW.2JFYHSJJ_FB4TIME,702,加非氧化性杀菌剂步序反馈4时间,,float32
FW.2JFYHSJJ_FB4TIMESPO,703,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB5,704,#2加非氧化性杀菌剂步序反馈5,,digital
FW.2JFYHSJJ_FB5TIME,705,加非氧化性杀菌剂步序反馈5时间,,float32
FW.2JFYHSJJ_FB5TIMESPO,706,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB6,707,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_FB6TIME,708,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_FB6TIMESPO,709,@ Ovation Control Builder @,,float32
FW.2JFYHSJJ_JT,710,#2加非氧化性杀菌剂急停,,digital
FW.2JFYHSJJ_JTXD,711,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_LP,712,#2加非氧化性杀菌剂步序状态点,,int32
FW.2JFYHSJJ_MANM,713,#2加非氧化性杀菌剂步序手动,,digital
FW.2JFYHSJJ_READY,714,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_SEQ1,715,#2加非氧化性杀菌剂Step1,,digital
FW.2JFYHSJJ_SEQ2,716,#2加非氧化性杀菌剂Step2,,digital
FW.2JFYHSJJ_SEQ3,717,#2加非氧化性杀菌剂Step3,,digital
FW.2JFYHSJJ_SEQ4,718,#2加非氧化性杀菌剂Step4,,digital
FW.2JFYHSJJ_SEQ5,719,#2加非氧化性杀菌剂Step5,,digital
FW.2JFYHSJJ_SEQ6,720,@ Ovation Control Builder @,,digital
FW.2JFYHSJJ_SEQGO,721,#2加非氧化性杀菌剂步序启动,,digital
FW.2JFYHSJJ_SEQNUM,722,#2加非氧化性杀菌剂当前步序,,float32
FW.2JFYHSJJ_STOP,723,#2加非氧化性杀菌剂步序停止,,digital
FW.2JFYHSJJBY,724,#2加非氧化杀菌剂步延,,digital
FW.2JFYHSJJFX_PD,725,#2加非氧化性杀菌剂步序排队,,digital
FW.2JFYHSJJQG,726,#2加非氧化性杀菌剂全关,,digital
FW.2JFYHSJJYXBY,727,#2加非氧化杀菌剂运行步延,,digital
FW.2JFYHSJJYXBYTIME,728,#2加非氧化杀菌剂步延时间,,float32
FW.2JJ,729,2套设备使用加碱泵,,digital
FW.2JSKPWB_LSTR,730,#2集水坑排污泵连锁投入,,digital
FW.2KQCXZLLC_AUTOM,731,#2空气擦洗重力滤池步序自动,,digital
FW.2KQCXZLLC_DONE,732,#2空气擦洗重力滤池步序结束,,digital
FW.2KQCXZLLC_FB1,733,#2空气擦洗重力滤池反馈1,,digital
FW.2KQCXZLLC_FB1TIME,734,#2空气擦洗重力滤池反馈1时间,,float32
FW.2KQCXZLLC_FB1TIMESPO,735,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_FB2,736,#2空气擦洗重力滤池反馈2,,digital
FW.2KQCXZLLC_FB2TIME,737,#2空气擦洗重力滤池反馈2时间,,float32
FW.2KQCXZLLC_FB2TIMESPO,738,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_FB3,739,#2空气擦洗重力滤池反馈3,,digital
FW.2KQCXZLLC_FB3TIME,740,#2空气擦洗重力滤池反馈3时间,,float32
FW.2KQCXZLLC_FB3TIMESPO,741,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_FB4,742,#2空气擦洗重力滤池反馈4,,digital
FW.2KQCXZLLC_FB4TIME,743,#2空气擦洗重力滤池反馈4时间,,float32
FW.2KQCXZLLC_FB4TIMESPO,744,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_FB5,745,#2空气擦洗重力滤池反馈5,,digital
FW.2KQCXZLLC_FB5TIME,746,#2空气擦洗重力滤池反馈5时间,,float32
FW.2KQCXZLLC_FB5TIMESPO,747,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_FB6,748,#2空气擦洗重力滤池反馈6,,digital
FW.2KQCXZLLC_FB6TIME,749,#2空气擦洗重力滤池反馈6时间,,float32
FW.2KQCXZLLC_FB6TIMESPO,750,@ Ovation Control Builder @,,float32
FW.2KQCXZLLC_LP,751,#2空气擦洗重力滤池步序状态点,,int32
